;Rougher;recovers the material from the stream;;;;;;
;Cleaner ;Cleans an input stream;;;;;;
"""Lumpensammler""";Scavanger;machines to get back good material ;;;;;;
;;;;;;;;
Process Step-ID;Segment;Country;Segment Code;StepCode;ProcessStep;Infeed Material description;Main Material for ejection;conflicting material 
DE-W01-001;Mixed Light Packaging;DE;W01;001;FKN Rougher;Typically first machine in a plant after some pre treatment of material. Shooting all sort of Tetrapack material;FKN;PE-LD, ALU, PAPER
DE-W01-002;Mixed Light Packaging;DE;W01;002;FKN Cleaner;Material from FKN machine (typically  FKN positive stream);All materials except FKN;
DE-W01-003;Mixed Light Packaging;DE;W01;003;ALU Cleaner  (eventuell in AT?);;All materials except ALU;
DE-W01-004;Mixed Light Packaging;DE;W01;004;ALU Cleaner (in principle FKN Rougher);Material coming from Eddy Current Separator;FKN;
DE-W01-005;Mixed Light Packaging;DE;W01;005;PE Rigid Rougher;;PE-HD;
DE-W01-006;Mixed Light Packaging;DE;W01;006;PE Rigid Rougher without Silicone (GAIN);;PE-HD;PE-LD, SILICONE Cartridge
DE-W01-007;Mixed Light Packaging;DE;W01;007;PE Film;;PE-LD;
DE-W01-008;Mixed Light Packaging;DE;W01;008;PE Rigid Cleaner with Silicone (GAIN);;;
DE-W01-009;Mixed Light Packaging;DE;W01;009;PE Rigid Cleaner;;All materials except HDPE;
DE-W01-010;Mixed Light Packaging;DE;W01;010;PE Film Cleaner;Material coming from PE Film sorting machine (positive or negative);All materials except LDPE;
DE-W01-011;Mixed Light Packaging;DE;W01;011;PP-Rigid;;PP;
DE-W01-012;Mixed Light Packaging;DE;W01;012;PP-Rigid Cleaner;;All materials except PP;
DE-W01-013;Mixed Light Packaging;DE;W01;013;PP Flexible Rougher;;;
DE-W01-014;Mixed Light Packaging;DE;W01;014;PP Flexible Cleaner;;;
DE-W01-015;Mixed Light Packaging;DE;W01;015;PAPER Rougher;;PAPER;
DE-W01-016;Mixed Light Packaging;DE;W01;016;PAPER Cleaner;;;
DE-W01-017;Mixed Light Packaging;DE;W01;017;MPO Rougher;;;
DE-W01-018;Mixed Light Packaging;DE;W01;018;MPO Cleaner;;MPO;
DE-W01-019;Mixed Light Packaging;DE;W01;019;PET Rougher;;;
DE-W01-020;Mixed Light Packaging;DE;W01;020;PET Cleaner;;PET;
DE-W01-021;Mixed Light Packaging;DE;W01;021;PET Bottles Rougher ;;;
DE-W01-022;Mixed Light Packaging;DE;W01;022;PET Bottles Cleaner;;PET Bottle;
DE-W01-023;Mixed Light Packaging;DE;W01;023;PET Tray Rougher;;PET Tray;
DE-W01-024;Mixed Light Packaging;DE;W01;024;PET Tray Cleaner;;;
DE-W01-025;Mixed Light Packaging;DE;W01;025;PET Multi Mono tray ???;;;
DE-W01-026;Mixed Light Packaging;DE;W01;026;PS Rougher;;PS;
DE-W01-027;Mixed Light Packaging;DE;W01;027;PS Cleaner;;All materials except PS;EPS
DE-W01-028;Mixed Light Packaging;DE;W01;028;SCAVANGER  Rigid PLASTICS;;PP HDPE PET PS;
DE-W01-029;Mixed Light Packaging;DE;W01;029;SCAVANGER  Rigid PLASTICS with GAIN;;;
DE-W01-030;Mixed Light Packaging;DE;W01;030;SCAVANGER Film / Flexible;;PP Film PE Film;
DE-W01-031;Mixed Light Packaging;DE;W01;031;PP PET HDPE PS Rigid Rougher (PLASTICS);;PP HDPE PET PS;
DE-W01-032;Mixed Light Packaging;DE;W01;032;MPO Film / Flexible;;PP Flexible, PE Film, Multilayer Flexibles;
DE-W01-033;Mixed Light Packaging;DE;W01;033;RDF;;PVC;
DE-W01-034;Mixed Light Packaging;DE;W01;034;PE Film natural Rougher;;;
DE-W01-035;Mixed Light Packaging;DE;W01;035;PE Film natural Cleaner;;;
DE-W01-036;Mixed Light Packaging;DE;W01;036;PE Film white Rougher;;;
DE-W01-037;Mixed Light Packaging;DE;W01;037;PE Film white Cleaner;;;
DE-W01-038;Mixed Light Packaging;DE;W01;038;PE Film light colors Rougher;;;
DE-W01-039;Mixed Light Packaging;DE;W01;039;PE Film light colors Cleaner;;;
DE-W01-040;Mixed Light Packaging;DE;W01;040;PE Film colored Rougher;;;
DE-W01-041;Mixed Light Packaging;DE;W01;041;PE Film colored Cleaner;;;
DE-W01-042;Mixed Light Packaging;DE;W01;042;PAPER and CARDBOARD Rougher;;;
DE-W01-043;Mixed Light Packaging;DE;W01;043;PAPER and CARDBOARD Cleaner;;;
DE-W01-044;Mixed Light Packaging;DE;W01;044;Black objects Rougher;;;
DE-W01-045;Mixed Light Packaging;DE;W01;045;SCAVANGER;;;
DE-W01-046;Mixed Light Packaging;DE;W01;046;PE Rigid natural / white Rougher;;;
DE-W01-047;Mixed Light Packaging;DE;W01;047;PE Rigid natural / white Cleaner;;;
DE-W01-048;Mixed Light Packaging;DE;W01;048;PE Rigid colored Rougher;;;
DE-W01-049;Mixed Light Packaging;DE;W01;049;PE Rigid colored Cleaner;;;
;;DE;;;;;;
;;;;;;;;
DE-W02-001;Municipal Solid Waste;DE;W02;001;FKN Rougher;Typically first machine in a LWP plant after some pre treatment of material. Shooting all sort of Tetrapack material;FKN;PE-LD, ALU, PAPER
DE-W02-002;Municipal Solid Waste;DE;W02;002;FKN Cleaner;Material from FKN machine (typically  FKN positive stream);All materials except FKN;
DE-W02-003;Municipal Solid Waste;DE;W02;003;ALU Cleaner  (eventuell in AT?);;All materials except ALU;
DE-W02-004;Municipal Solid Waste;DE;W02;004;ALU Cleaner (in principle FKN Rougher);Material coming from Eddy Current Separator;FKN;
DE-W02-005;Municipal Solid Waste;DE;W02;005;PE Rigid Rougher;;PE-HD;
DE-W02-006;Municipal Solid Waste;DE;W02;006;PE Rigid Rougher without Silicone (GAIN);;PE-HD;PE-LD, SILICONE Cartridge
DE-W02-007;Municipal Solid Waste;DE;W02;007;PE Film;;PE-LD;
DE-W02-008;Municipal Solid Waste;DE;W02;008;PE Rigid Cleaner with Silicone (GAIN);;;
DE-W02-009;Municipal Solid Waste;DE;W02;009;PE Rigid Cleaner;;All materials except HDPE;
DE-W02-010;Municipal Solid Waste;DE;W02;010;PE Film Cleaner;Material coming from PE Film sorting machine (positive or negative);All materials except LDPE;
DE-W02-011;Municipal Solid Waste;DE;W02;011;PP-Rigid;;PP;
DE-W02-012;Municipal Solid Waste;DE;W02;012;PP-Rigid Cleaner;;All materials except PP;
DE-W02-013;Municipal Solid Waste;DE;W02;013;PP Flexible Rougher;;;
DE-W02-014;Municipal Solid Waste;DE;W02;014;PP Flexible Cleaner;;;
DE-W02-015;Municipal Solid Waste;DE;W02;015;PAPER Rougher;;PAPER;
DE-W02-016;Municipal Solid Waste;DE;W02;016;PAPER Cleaner;;;
DE-W02-017;Municipal Solid Waste;DE;W02;017;MPO Rougher;;;
DE-W02-018;Municipal Solid Waste;DE;W02;018;MPO Cleaner;;MPO;
DE-W02-019;Municipal Solid Waste;DE;W02;019;PET Rougher;;;
DE-W02-020;Municipal Solid Waste;DE;W02;020;PET Cleaner;;PET;
DE-W02-021;Municipal Solid Waste;DE;W02;021;PET Bottles Rougher ;;;
DE-W02-022;Municipal Solid Waste;DE;W02;022;PET Bottles Cleaner;;PET Bottle;
DE-W02-023;Municipal Solid Waste;DE;W02;023;PET Tray Rougher;;PET Tray;
DE-W02-024;Municipal Solid Waste;DE;W02;024;PET Tray Cleaner;;;
DE-W02-025;Municipal Solid Waste;DE;W02;025;PET Multi Mono tray ???;;;
DE-W02-026;Municipal Solid Waste;DE;W02;026;PS Rougher;;PS;
DE-W02-027;Municipal Solid Waste;DE;W02;027;PS Cleaner;;All materials except PS;EPS
DE-W02-028;Municipal Solid Waste;DE;W02;028;SCAVANGER  Rigid PLASTICS;;PP HDPE PET PS;
DE-W02-029;Municipal Solid Waste;DE;W02;029;SCAVANGER  Rigid PLASTICS with GAIN;;;
DE-W02-030;Municipal Solid Waste;DE;W02;030;SCAVANGER Film / Flexible;;PP Film PE Film;
DE-W02-031;Municipal Solid Waste;DE;W02;031;PP PET HDPE PS Rigid Rougher (PLASTICS);;PP HDPE PET PS;
DE-W02-032;Municipal Solid Waste;DE;W02;032;MPO Film / Flexible;;PP Flexible, PE Film, Multilayer Flexibles;
DE-W02-033;Municipal Solid Waste;DE;W02;033;RDF;;PVC;
DE-W02-034;Municipal Solid Waste;DE;W02;034;PE Film natural Rougher;;;
DE-W02-035;Municipal Solid Waste;DE;W02;035;PE Film natural Cleaner;;;
DE-W02-036;Municipal Solid Waste;DE;W02;036;PE Film white Rougher;;;
DE-W02-037;Municipal Solid Waste;DE;W02;037;PE Film white Cleaner;;;
DE-W02-038;Municipal Solid Waste;DE;W02;038;PE Film light colors Rougher;;;
DE-W02-039;Municipal Solid Waste;DE;W02;039;PE Film light colors Cleaner;;;
DE-W02-040;Municipal Solid Waste;DE;W02;040;PE Film colored Rougher;;;
DE-W02-041;Municipal Solid Waste;DE;W02;041;PE Film colored Cleaner;;;
DE-W02-042;Municipal Solid Waste;DE;W02;042;PAPER and CARDBOARD Rougher;;;
DE-W02-043;Municipal Solid Waste;DE;W02;043;PAPER and CARDBOARD Cleaner;;;
DE-W02-044;Municipal Solid Waste;DE;W02;044;Black objects Rougher;;;
DE-W02-045;Municipal Solid Waste;DE;W02;045;SCAVANGER;;;
DE-W02-046;Municipal Solid Waste;DE;W02;046;PE Rigid natural / white Rougher;;;
DE-W02-047;Municipal Solid Waste;DE;W02;047;PE Rigid natural / white Cleaner;;;
DE-W02-048;Municipal Solid Waste;DE;W02;048;PE Rigid colored Rougher;;;
DE-W02-049;Municipal Solid Waste;DE;W02;049;PE Rigid colored Cleaner;;;
DE-W02-050;Municipal Solid Waste;DE;W02;050;PVC from RDF;;;
;;DE;;;;;;
DE-W04-001;Upgrading Paper;DE;W04;001;DEINKING negative;;;
DE-W04-002;Upgrading Paper;DE;W04;002;DEINKING Recovery;;;
DE-W04-003;Upgrading Paper;DE;W04;003;CARDBOARD negative;;;
DE-W04-004;Upgrading Paper;DE;W04;004;CARDBOARD Recovery;;;
DE-W04-005;Upgrading Paper;DE;W04;005;CARDBOARD brown;;;
DE-W04-006;Upgrading Paper;DE;W04;006;PLASTICS;;;
DE-W04-007;Upgrading Paper;DE;W04;007;Ligninfree / woodfree;;;
DE-W04-008;Upgrading Paper;DE;W04;008;Mixed PAPER;;;
DE-W04-009;Upgrading Paper;DE;W04;009;Office Paper (common outside Germany);;;
DE-W04-010;Upgrading Paper;DE;W04;010;Tetra (common outside Germany);;;
;;;;;;;;
DE-W05-001;Upgrading Plastics;DE;W05;001;PET clear;;;
DE-W05-002;Upgrading Plastics;DE;W05;002;PET clear Cleaner;;;
DE-W05-003;Upgrading Plastics;DE;W05;003;PET Lightblue;;;
DE-W05-004;Upgrading Plastics;DE;W05;004;PET Lightblue Cleaner;;;
DE-W05-005;Upgrading Plastics;DE;W05;005;PET clear / lightblue;;;
DE-W05-006;Upgrading Plastics;DE;W05;006;PET clear/ lightblue Cleaner;;;
DE-W05-007;Upgrading Plastics;DE;W05;007;PET white;;;
DE-W05-008;Upgrading Plastics;DE;W05;008;PET white Cleaner;;;
DE-W05-009;Upgrading Plastics;DE;W05;009;PET Tray;;;
DE-W05-010;Upgrading Plastics;DE;W05;010;PET Tray Cleaner;;;
DE-W05-011;Upgrading Plastics;DE;W05;011;PET colored (Jazz);;;
DE-W05-012;Upgrading Plastics;DE;W05;012;PET colored (Jazz) Cleaner;;;
DE-W05-013;Upgrading Plastics;DE;W05;013;PET bottle;;;
DE-W05-014;Upgrading Plastics;DE;W05;014;PET clear / lightblue Recovery;;;
DE-W05-015;Upgrading Plastics;DE;W05;015;PET colored Recovery;;;
DE-W05-016;Upgrading Plastics;DE;W05;016;PET bottle recovery;;;
DE-W05-017;Upgrading Plastics;DE;W05;017;PET Foodgrade;;;
DE-W05-018;Upgrading Plastics;DE;W05;018;PET non-Food;;;
;;;;;;;;
DE-W05-019;Upgrading Plastics;DE;W05;019;PE;;;
DE-W05-020;Upgrading Plastics;DE;W05;020;PE natural;;;
DE-W05-021;Upgrading Plastics;DE;W05;021;PE white;;;
DE-W05-022;Upgrading Plastics;DE;W05;022;PE natural / white;;;
DE-W05-023;Upgrading Plastics;DE;W05;023;PE natural Cleaner;;;
DE-W05-024;Upgrading Plastics;DE;W05;024;PE white Cleaner;;;
DE-W05-025;Upgrading Plastics;DE;W05;025;PE natural / white Cleaner;;;
DE-W05-026;Upgrading Plastics;DE;W05;026;PE colored;;;
DE-W05-027;Upgrading Plastics;DE;W05;027;PE colored Cleaner;;;
DE-W05-028;Upgrading Plastics;DE;W05;028;PE Scavanger;;;
DE-W05-029;Upgrading Plastics;DE;W05;029;PP;;;
DE-W05-030;Upgrading Plastics;DE;W05;030;PP white;;;
DE-W05-031;Upgrading Plastics;DE;W05;031;PP white Cleaner;;;
DE-W05-032;Upgrading Plastics;DE;W05;032;PP clear;;;
DE-W05-033;Upgrading Plastics;DE;W05;033;PP clear Cleaner;;;
DE-W05-034;Upgrading Plastics;DE;W05;034;PP colored;;;
DE-W05-035;Upgrading Plastics;DE;W05;035;PP colored Cleaner;;;
DE-W05-036;Upgrading Plastics;DE;W05;036;PP Scavanger;;;
DE-W06-001;C&I;DE;W06;001;Mixed FIBER;;;
DE-W06-002;C&I;DE;W06;002;Mixed PO Film;;;
DE-W06-003;C&I;DE;W06;003;Mixed PLASTICS;;;
DE-W06-004;C&I;DE;W06;004;WOOD;;;
DE-W07-001;C&D;DE;W07;001;WOOD;;;
DE-W07-002;C&D;DE;W07;002;STONES;;;
DE-W07-003;C&D;DE;W07;003;PLASTER;;;
DE-W07-004;C&D;DE;W07;004;PVC;;;
DE-W07-005;C&D;DE;W07;005;All PLASTICS;;;
DE-W07-006;C&D;DE;W07;006;Film mix;;;
DE-W07-007;C&D;DE;W07;007;Mixed PAPER;;;
DE-W07-008;C&D;DE;W07;008;Black Objetcs;;;
DE-W07-009;C&D;DE;W07;009;WOOD A vs WOOD B;;;
DE-W07-010;C&D;DE;W07;010;PVC from Windowframes;;;
DE-W08-001;Upgrading Wood;DE;W08;001;WOOD A vs WOOD B;;;
DE-W08-002;Upgrading Wood;DE;W08;002;WOOD Cleaner;;;
DE-W08-003;Upgrading Wood;DE;W08;003;MDF;;;
DE-W09-001;Upgrading Textile;DE;W09;001;COTTON;;;
DE-W09-002;Upgrading Textile;DE;W09;002;PA (NYLON);;;
DE-W09-003;Upgrading Textile;DE;W09;003;PET;;;
DE-W09-004;Upgrading Textile;DE;W09;004;Scavanger;;;
DE-W09-005;Upgrading Textile;DE;W09;005;POLYCOTTON;;;
DE-W10-001;WR Others;DE;W10;001;------;;;
DE-M01-001;Post-Shredder;DE;M01;001;All PLASTICS;;;
DE-M01-002;Post-Shredder;DE;M01;002;PCB;;;
DE-M01-003;Post-Shredder;DE;M01;003;PCB Cleaner;;;
DE-M01-004;Post-Shredder;DE;M01;004;Technical POLYMERS;;;
DE-M02-001;Metal Smelter;DE;M02;001;Coated ALU;;;
DE-M03-001;E-Waste;DE;M03;001;PCB;;;
DE-M03-002;E-Waste;DE;M03;002;PCB Cleaner;;;
DE-M03-003;E-Waste;DE;M03;003;PS, ABS,POM,PMMA;;;
DE-M03-004;E-Waste;DE;M03;004;All PLASTICS;;;
DE-M03-005;E-Waste;DE;M03;005;PVC;;;
DE-M04-001;MR Others;DE;M04;001;------;;;
